25,2,1,0,0,0,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,3,11
24,4,2,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,2,6
20,4,4,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,8
13,2,10,6,4,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,2
16,5,2,9,5,5,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,0,3,2,10,18,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2,0,0,1,3,12,18,6,1,1,6,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,3,17,19,2,4,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,5,9,11,5,12,4,1,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,1,7,4,2,8,16,7,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,1,17,22,2,3,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,5,27,8,6,0,0,2,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0
2,0,0,0,0,0,0,0,0,0,3,10,16,6,5,0,4,0,3,1,0,0,0,0,3,0,0,0,0,0,0,1
2,0,0,0,1,0,0,0,0,0,1,2,10,12,6,4,11,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,2,6,11,13,8,5,0,2,0,0,1,0,0,5,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,2,3,6,4,6,11,1,10,1,2,3,0,0,4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,4,12,4,9,1,5,4,0,0,4,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,8,8,8,5,3,1,0,0,9,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,13,7,7,3,0,0,10,0,0,1,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,1,5,11,11,2,2,0,12,0,1,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,6,16,10,5,0,9,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,6,19,5,1,14,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,4,15,7,8,11,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,1,14,1,3,3,2,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,14,14,11,1,1,1,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,13,7,21,4,3,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,11,21,6,2,4,1
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,3,23,5,6,2,2
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,10,8,15,7,6
4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,5,14,7,16
9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,9,9,19
13,3,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,5,3,22
