177,27,23,21,34,33,17,6,13,2,12,10,6,17,2,13,13,7,3,2,4,7,3,1,16,1,7,16,13,21,12,61
174,38,37,32,43,44,13,11,4,9,8,6,3,6,4,5,8,8,4,4,4,3,4,1,13,4,6,7,6,18,10,63
128,44,35,34,46,37,22,4,12,2,4,13,5,14,3,8,7,5,1,2,2,13,10,2,51,0,13,7,11,12,9,44
101,29,40,58,98,76,40,11,13,9,9,6,1,10,3,9,8,3,3,1,2,0,2,0,10,2,3,5,4,5,8,31
86,16,33,40,73,106,62,15,19,13,17,12,0,13,2,6,11,2,3,0,5,1,5,1,5,2,8,2,8,6,4,24
61,10,15,16,61,129,112,31,25,9,20,20,8,15,5,10,6,2,1,1,1,2,3,1,6,0,4,3,2,3,1,17
35,2,15,5,32,97,147,78,40,35,23,18,11,6,9,5,5,2,1,1,2,3,1,0,5,0,4,2,1,5,0,10
20,4,6,9,15,37,109,141,69,55,26,38,12,13,3,9,11,1,1,0,1,0,1,0,3,0,5,1,1,5,0,4
21,2,1,2,7,14,51,89,207,74,30,29,11,13,2,3,9,4,3,3,3,1,1,0,5,1,4,2,0,0,4,4
18,1,4,1,7,19,50,73,109,90,71,56,22,17,12,11,10,4,3,3,0,0,1,2,4,0,2,0,3,1,0,6
16,3,2,4,11,12,35,39,59,65,89,108,34,41,15,22,14,3,2,1,3,0,3,1,7,1,3,0,1,2,0,4
17,1,4,1,2,10,13,16,37,21,57,176,67,71,21,24,26,2,2,3,2,1,2,1,11,0,2,2,4,1,0,3
15,0,2,0,6,7,6,7,23,7,27,116,84,137,49,36,36,5,6,2,3,3,4,1,6,1,4,1,1,2,0,3
13,0,2,2,2,10,11,3,10,2,13,61,63,140,71,72,66,22,10,4,5,1,1,0,6,0,1,0,2,2,0,5
8,0,1,1,5,4,4,1,11,1,5,34,30,86,95,113,100,33,8,10,10,8,3,1,12,0,4,1,4,1,1,5
9,1,0,2,1,3,3,1,6,0,6,16,21,68,56,149,131,55,21,11,8,11,2,0,7,0,1,1,2,1,0,7
11,0,0,2,3,5,1,1,10,0,6,12,14,36,47,110,170,65,31,27,16,7,4,2,8,1,1,1,4,0,2,3
22,1,1,0,1,7,0,0,6,0,2,8,15,31,18,50,152,111,50,41,29,12,6,0,15,1,1,1,3,3,2,11
12,4,1,1,4,3,0,0,4,0,3,9,4,25,13,37,109,102,79,76,41,24,17,1,12,2,4,0,2,3,2,6
7,2,1,2,4,4,0,1,5,1,5,3,7,13,10,23,82,67,70,95,83,32,22,10,19,5,6,5,5,4,1,6
13,0,1,1,3,0,2,0,2,0,2,3,4,5,5,13,40,38,39,101,112,88,43,10,28,8,14,5,7,1,4,8
9,1,0,2,2,1,1,1,1,0,3,3,0,5,4,5,26,25,24,43,88,151,82,26,40,11,16,6,11,1,2,10
10,1,1,1,3,3,1,0,3,0,1,2,1,5,8,6,12,13,15,15,45,113,131,46,69,27,27,12,3,9,9,8
15,1,4,0,1,1,1,0,2,0,1,3,0,3,3,3,11,9,8,13,29,81,92,78,113,39,63,9,9,2,2,4
26,5,2,2,6,3,3,0,4,1,3,2,1,7,1,1,9,7,6,14,23,36,34,46,155,51,48,25,15,19,20,25
20,1,2,0,3,6,1,3,3,1,2,4,3,1,2,2,3,5,4,2,10,27,47,44,101,74,102,52,28,14,9,24
31,1,2,1,3,1,0,1,2,1,1,3,0,3,2,3,0,4,3,5,6,21,26,26,58,49,134,78,41,40,16,38
34,2,2,2,2,4,2,3,2,0,0,0,1,0,0,1,3,7,1,3,9,12,10,15,57,35,73,98,95,47,35,45
43,3,5,2,7,4,1,0,2,0,0,1,0,2,5,1,1,6,6,3,5,9,4,4,39,25,43,70,101,74,60,74
53,7,4,4,11,5,6,0,2,0,2,3,0,3,0,5,7,4,2,5,10,5,5,5,36,13,30,48,72,99,70,84
68,8,9,8,15,11,3,0,3,0,0,2,0,5,0,1,1,4,4,6,5,4,5,1,31,13,40,37,53,67,77,119
93,16,13,11,15,9,5,0,2,0,6,4,0,8,0,5,4,5,6,3,1,6,4,3,34,8,18,23,33,61,51,153
